#bytes		32-b_agg[MB/s]	64-b_agg[MB/s]	64-b_agg[MB/s]
"2"		11.62		23.87		29.99
"4"		23.44		48.57		61.15
"8"		46.51		95.97		120.64
"16"		93.07		191.53		239.47
"32"		185.72		382.47		478.75
"64"		372.16		765.01		957.48
"128"		743.51		1530.04		1915.06
"256"		1474.41		3033.67		3796.99
"512"		2910.81		5990.29		7498.37
"1024"		5650.06		11634.17	14570.25
"2048"		9321.17		19210.33	24067.76
"4096"		14118.56	28865.75	36212.44
"8192"		56462.69	113933.81	138404.87
"16384"		64364.82	112496.98	143125.28
"32768"		65686.15	114630.99	145216.14
"65536"		63858.79	112294.53	142342.16
"131072"	62961.9		110705.22	140247.3
"262144"	62432.13	109691.06	138380.56
"524288"	61894.26	109071.15	137397.82
"1048576"	61564.55	108482.23	136911.49
"2097152"	61082.62	108123.83	136344.38
"4194304"	60852.9		107842.47	136100.09
