#bytes		32-b_min[MB/s]	32-b_max[MB/s]	32-b_avg[MB/s]	64-b_min[MB/s]	64-b_max[MB/s]	64-b_avg[MB/s]	80-b_min[MB/s]	80-b_max[MB/s]	80-b_avg[MB/s]
"2"		0.72		0.73		0.73		0.74		0.75		0.75		0.74		0.75		0.75
"4"		1.45		1.47		1.47		1.5		1.53		1.52		1.52		1.54		1.53
"8"		2.87		2.92		2.91		2.96		3.02		3		2.99		3.03		3.02
"16"		5.78		5.84		5.82		5.94		6.03		5.99		5.94		6.03		5.99
"32"		11.47		11.72		11.61		11.85		12.06		11.95		11.88		12.04		11.97
"64"		23.08		23.38		23.26		23.69		24.06		23.91		23.75		24.1		23.94
"128"		46.23		46.75		46.47		47.53		48.1		47.81		47.53		48.18		47.88
"256"		91.29		92.68		92.15		93.84		95.71		94.8		93.99		95.45		94.92
"512"		180.91		183.34		181.93		186.07		188.44		187.2		186.2		188.54		187.46
"1024"		350.7		354.92		353.13		361.11		366.59		363.57		362.01		366.33		364.26
"2048"		574.58		588.63		582.57		594.85		605.08		600.32		596.04		605.77		601.69
"4096"		871.55		886.99		882.41		888.64		909.6		902.05		895.39		912.41		905.31
"8192"		3511.12		3540.79		3528.92		3544.05		3575.22		3560.43		3236.57		3590.12		3460.12
"16384"		3896.05		4177.99		4022.8		3407.78		3632.93		3515.53		3221.32		4410.06		3578.13
"32768"		3966.45		4277.96		4105.38		3454.87		3711.29		3582.22		3246.52		4513.06		3630.4
"65536"		3858.2		4164.71		3991.17		3406.4		3627.88		3509.2		3184.83		4421.89		3558.55
"131072"	3801.93		4124.62		3935.12		3358.19		3580.98		3459.54		3146.04		4338.93		3506.18
"262144"	3771.52		4091.56		3902.01		3330.37		3557.18		3427.85		3112.68		4264.72		3459.51
"524288"	3747.09		4054.63		3868.39		3309.81		3533.21		3408.47		3092.57		4226.4		3434.95
"1048576"	3708.2		4051.16		3847.78		3284.84		3512.11		3390.07		3081.08		4208.38		3422.79
"2097152"	3689.66		4009.39		3817.66		3284.31		3501.23		3378.87		3068.7		4185.33		3408.61
"4194304"	3663.93		4009.77		3803.31		3267.07		3492.65		3370.08		3069.33		4176.86		3402.5
