#bytes		32-t_min[usec]	32-t_max[usec]	32-t_avg[usec]	64-t_min[usec]	64-t_max[usec]	64-t_avg[usec]	80-t_min[usec]	80-t_max[usec]	80-t_avg[usec]
"2"		41.73		42.53		42.04		81.29		82.32		81.8		101.46		102.43		101.95
"4"		41.5		42.03		41.66		79.97		81.5		80.45		99.03		100.7		99.83
"8"		41.8		42.6		42		80.77		82.38		81.42		100.59		102.03		101.18
"16"		41.8		42.22		41.97		81.03		82.26		81.59		101.23		102.7		101.95
"32"		41.67		42.56		42.07		80.94		82.38		81.71		101.35		102.77		101.99
"64"		41.76		42.31		41.98		81.17		82.45		81.7		101.32		102.78		101.99
"128"		41.78		42.25		42.03		81.22		82.18		81.7		101.35		102.72		101.99
"256"		42.15		42.79		42.39		81.62		83.25		82.41		102.31		103.9		102.88
"512"		42.61		43.18		42.94		82.92		83.97		83.47		103.59		104.9		104.19
"1024"		44.02		44.55		44.25		85.25		86.54		85.95		106.63		107.9		107.24
"2048"		53.09		54.39		53.64		103.29		105.07		104.11		128.97		131.07		129.84
"4096"		70.46		71.71		70.83		137.42		140.66		138.58		171.25		174.51		172.6
"8192"		35.3		35.6		35.42		69.93		70.54		70.22		87.04		96.55		90.4
"16384"		59.84		64.17		62.18		137.63		146.72		142.27		141.72		194.02		176.7
"32768"		116.88		126.06		121.87		269.45		289.45		279.29		276.97		385.03		348.71
"65536"		240.11		259.19		250.71		551.29		587.13		570.14		565.37		784.97		711.3
"131072"	484.89		526.05		508.58		1117.01		1191.12		1156.66		1152.36		1589.3		1443.06
"262144"	977.62		1060.58		1025.86		2248.97		2402.13		2334.75		2344.82		3212.67		2923.58
"524288"	1973.05		2134.99		2069.43		4528.47		4834.12		4696.11		4732.16		6467.12		5887.15
"1048576"	3949.49		4314.76		4161.6		9111.32		9741.72		9443.02		9504.85		12982.45	11815.46
"2097152"	7981.26		8672.9		8388.24		18279.29	19486.57	18948.78	19114.4		26069.64	23724.89
"4194304"	15961.03	17467.56	16842.58	36648.43	39178.86	37996.01	38306.27	52128.63	47531.74
