#bytes		32-b_agg[MB/s]	64-b_agg[MB/s]	64-b_agg[MB/s]
"2"		13.6		27.2		34
"4"		27.2		54.72		68.4
"8"		54.24		108.8		136
"16"		108.96		218.24		272.8
"32"		216		432.96		541.2
"64"		433.6		868.48		1086
"128"		866.4		1736.32		2171.2
"256"		1719.04		3449.28		4311.6
"512"		3380.96		6783.68		8481.2
"1024"		6524.8		13069.12	16342.8
"2048"		10514.56	21046.72	26308.8
"4096"		15571.68	31193.28	38991.6
"8192"		70431.52	136271.36	156164.8
"16384"		71171.84	126024.32	144368.8
"32768"		67912.16	110774.4	138505.6
"65536"		64619.68	108130.88	133462.8
"131072"	62954.72	106766.08	128387.6
"262144"	62394.08	105462.08	127909.6
"524288"	59738.72	118998.4	128804
"1048576"	60419.52	114203.52	127511.2
"2097152"	58614.88	104237.12	126005.6
"4194304"	57836.48	102536		125315.6
