#bytes		32-b_min[MB/s]	32-b_max[MB/s]	32-b_avg[MB/s]	64-b_min[MB/s]	64-b_max[MB/s]	64-b_avg[MB/s]	80-b_min[MB/s]	80-b_max[MB/s]	80-b_avg[MB/s]
"2"		0.84		0.86		0.85		0.84		0.86		0.85		0.84		0.86		0.85
"4"		1.67		1.73		1.7		1.67		1.73		1.71		1.68		1.72		1.71
"8"		3.32		3.44		3.39		3.34		3.44		3.4		3.33		3.45		3.4
"16"		6.7		6.88		6.81		6.72		6.89		6.82		6.67		6.88		6.82
"32"		13.33		13.61		13.5		13.37		13.69		13.53		13.27		13.65		13.53
"64"		26.73		27.28		27.1		26.58		27.53		27.14		26.63		27.43		27.15
"128"		53.41		54.56		54.15		53.39		54.85		54.26		53.24		54.75		54.28
"256"		105.68		108.73		107.44		106.13		108.49		107.79		105.54		108.63		107.79
"512"		207.23		213.02		211.31		208.37		213.94		211.99		207.94		213.64		212.03
"1024"		402.84		411.54		407.8		402.38		411.76		408.41		402.2		412.55		408.57
"2048"		645.17		662.96		657.16		644.58		662.55		657.71		644.81		662.15		657.72
"4096"		955.87		984.13		973.23		955.36		984.15		974.79		953.15		983.38		974.79
"8192"		4361.51		4447.65		4401.97		4217.86		4286.34		4258.48		3579.08		4504.07		3904.12
"16384"		4330.39		4596.45		4448.24		3759.55		5868.4		3938.26		3282.15		4606.58		3609.22
"32768"		4110.26		4413.27		4244.51		3332.79		3584.79		3461.7		3151.16		4396.22		3462.64
"65536"		3802.69		4327.4		4038.73		3274.39		3614.55		3379.09		3021.61		4219.03		3336.57
"131072"	3728.57		4143.16		3934.67		3161.16		3549.38		3336.44		2901.02		3982.54		3209.69
"262144"	3685.62		4135.08		3899.63		3095.64		3690.01		3295.69		2850.63		3944.01		3197.74
"524288"	3385.31		4249.45		3733.67		3191.6		7501.88		3718.7		2891.78		3947.31		3220.1
"1048576"	3524.43		4220.15		3776.22		3019.72		7903.12		3568.86		2869.71		3861.47		3187.78
"2097152"	3388.52		4062.01		3663.43		3067.97		3645.27		3257.41		2790.4		3869.82		3150.14
"4194304"	3389.03		4009.05		3614.78		2986.55		3450.42		3204.25		2787.37		3903.21		3132.89
