#bytes		32-t_min[usec]	32-t_max[usec]	32-t_avg[usec]	64-t_min[usec]	64-t_max[usec]	64-t_avg[usec]	80-t_min[usec]	80-t_max[usec]	80-t_avg[usec]
"2"		37.29		38.1		37.62		74.33		76.35		75.03		93.06		95.27		93.69
"4"		37.05		38.41		37.6		74.18		76.48		74.99		92.86		95.47		93.77
"8"		37.26		38.52		37.76		74.47		76.76		75.23		92.83		96.09		94.02
"16"		37.21		38.21		37.58		74.33		76.22		75.06		92.99		96		93.85
"32"		37.62		38.41		37.93		74.81		76.59		75.67		93.8		96.48		94.6
"64"		37.53		38.3		37.79		74.39		77.05		75.45		93.34		96.13		94.27
"128"		37.53		38.35		37.82		74.68		76.72		75.49		93.51		96.17		94.33
"256"		37.67		38.76		38.12		75.51		77.19		76		94.27		97.02		95
"512"		38.46		39.53		38.77		76.58		78.63		77.29		95.86		98.49		96.59
"1024"		39.81		40.67		40.18		79.58		81.43		80.23		99.29		101.84		100.25
"2048"		49.43		50.79		49.86		98.92		101.67		99.64		123.72		127.05		124.55
"4096"		66.59		68.56		67.34		133.18		137.2		134.46		166.61		171.89		168.08
"8192"		29.47		30.05		29.78		61.16		62.15		61.56		72.75		91.55		83.93
"16384"		57.03		60.54		58.93		89.34		139.46		133.13		142.27		199.67		181.58
"32768"		118.8		127.56		123.52		292.51		314.62		302.91		298.15		415.95		378.53
"65536"		242.31		275.75		259.63		580.2		640.47		620.63		621.34		867.56		785.67
"131072"	506.17		562.45		532.99		1181.7		1326.82		1257.12		1316.47		1807.25		1633.45
"262144"	1014.32		1138.02		1075.56		2273.33		2709.81		2545.33		2658.66		3678.41		3279.11
"524288"	1974.04		2477.95		2246.75		2236.4		5256.68		4511.58		5312.86		7252.12		6512.7
"1048576"	3975.5		4760.26		4442.87		4245.72		11111.77	9402.01		10861.94	14615.79	13157.44
"2097152"	8260.54		9902.4		9159.29		18409.83	21874		20601.92	21677.02	30062.4		26629.34
"4194304"	16739.35	19801.8		18565.15	38898.94	44940.78	41887.47	42983.13	60190.09	53551.91
"8388608"
